1580387546:[PRESS , 95]P  +4050mbar,T+11528mdegC
1580387550:[PRESS , 95]P  +4050mbar,T-15012mdegC
1580387612:[PRESS , 81]P  +4110mbar,T-27468mdegC
1580387614:[PRESS , 95]P  +4100mbar,T+11528mdegC
1580387619:[PRESS , 95]P  +4100mbar,T-27468mdegC
1580387621:[PRESS , 95]P  +4100mbar,T+11528mdegC
1580387623:[PRESS , 95]P  +4090mbar,T-27468mdegC
1580387625:[PRESS , 95]P  +4100mbar,T+11528mdegC
1580387627:[PRESS , 95]P  +4110mbar,T+23981mdegC
1580387628:[PRESS , 95]P  +4090mbar,T-15012mdegC
1580387637:[PRESS , 95]P  +4100mbar,T+11528mdegC
1580387637:[VALVE ,129]opening for 1195ms
1580387639:[MONITR,461]battery 15231mV,  145668uA
1580387710:[PRESS , 95]P  +4150mbar,T-15012mdegC
1580387716:[PRESS , 95]P  +4150mbar,T+11528mdegC
1580387717:[PRESS , 95]P  +4150mbar,T-15012mdegC
1580387721:[PRESS , 95]P  +4150mbar,T+11528mdegC
1580387723:[PRESS , 95]P  +4150mbar,T-15012mdegC
1580387723:[VALVE ,129]opening for 1195ms
1580387784:[PRESS , 81]P  +4210mbar,T+11528mdegC
1580387785:[PRESS , 95]P  +4210mbar,T-27468mdegC
1580387787:[PRESS , 95]P  +4210mbar,T+11528mdegC
1580387793:[PRESS , 95]P  +4210mbar,T-15012mdegC
1580387794:[PRESS , 95]P  +4200mbar,T+11528mdegC
1580387796:[PRESS , 95]P  +4200mbar,T  -930mdegC
1580387798:[PRESS , 95]P  +4190mbar,T-15012mdegC
1580387800:[PRESS , 95]P  +4210mbar,T+11528mdegC
1580387803:[PRESS , 95]P  +4200mbar,T-27468mdegC
1580387805:[PRESS , 95]P  +4210mbar,T+11528mdegC
1580387809:[VALVE ,129]opening for 1195ms
1580387876:[PRESS , 95]P  +4230mbar,T-27468mdegC
1580387878:[PRESS , 95]P  +4230mbar,T+11528mdegC
1580387880:[PRESS , 95]P  +4230mbar,T-15012mdegC
1580387882:[PRESS , 95]P  +4220mbar,T+11528mdegC
1580387887:[PRESS , 95]P  +4200mbar,T-15012mdegC
1580387894:[PRESS , 95]P  +4200mbar,T+11528mdegC
1580387894:[VALVE ,129]opening for 2391ms
1580387897:[MONITR,461]battery 14993mV,  476776uA
1580387898:[MONITR,461]battery 15238mV,  170312uA
1580387955:[PRESS , 95]P  +4250mbar,T-15012mdegC
1580387960:[PRESS , 95]P  +4250mbar,T-27468mdegC
1580387962:[PRESS , 95]P  +4250mbar,T+11528mdegC
1580387975:[PRESS , 95]P  +4260mbar,T-15012mdegC
1580387978:[PRESS , 95]P  +4270mbar,T+11528mdegC
1580387980:[PRESS , 95]P  +4270mbar,T-27468mdegC
1580388041:[PRESS , 81]P  +4340mbar,T+11528mdegC
